工单ID,标题,描述,地址,维修类型,住户姓名,住户电话,状态,技工姓名,技工电话,预约开始,预约结束,创建时间,更新时间
24,同日边界_上午工单,同日边界测试2,测试地址2,电路维修,张三,13800000002,待派工,,,,,2026-06-20 20:32:14,2026-06-20 20:32:14
25,同日边界_下午工单,同日边界测试3,测试地址3,漏水维修,张三,13800000002,待派工,,,,,2026-06-20 20:32:14,2026-06-20 20:32:14
26,同日边界_深夜工单,同日边界测试4,测试地址4,电路维修,张三,13800000002,待派工,,,,,2026-06-20 20:32:14,2026-06-20 20:32:14
19,同日边界_凌晨工单,同日边界测试1,测试地址1,漏水维修,张三,13800000002,待派工,,,,,2026-06-20 20:31:50,2026-06-20 20:31:50
20,同日边界_上午工单,同日边界测试2,测试地址2,电路维修,张三,13800000002,待派工,,,,,2026-06-20 20:31:50,2026-06-20 20:31:50
21,同日边界_下午工单,同日边界测试3,测试地址3,漏水维修,张三,13800000002,待派工,,,,,2026-06-20 20:31:50,2026-06-20 20:31:50
22,同日边界_深夜工单,同日边界测试4,测试地址4,电路维修,张三,13800000002,待派工,,,,,2026-06-20 20:31:50,2026-06-20 20:31:50
16,同日边界_上午工单,同日边界测试2,测试地址2,电路维修,张三,13800000002,待派工,,,,,2026-06-20 20:24:16,2026-06-20 20:24:16
17,同日边界_下午工单,同日边界测试3,测试地址3,漏水维修,张三,13800000002,待派工,,,,,2026-06-20 20:24:16,2026-06-20 20:24:16
18,同日边界_深夜工单,同日边界测试4,测试地址4,电路维修,张三,13800000002,待派工,,,,,2026-06-20 20:24:16,2026-06-20 20:24:16
15,同日边界_凌晨工单,同日边界测试1,测试地址1,漏水维修,张三,13800000002,待派工,,,,,2026-06-20 20:24:15,2026-06-20 20:24:15
14,REVIEW-SAME-DAY-EDGE-20260621-B,reviewer-created same-day range ticket,9A-2-902,漏水维修,张三,13800000002,待派工,,,,,2026-06-20 20:03:07,2026-06-20 20:03:07
13,REVIEW-SAME-DAY-EDGE-20260621,reviewer-created same-day range ticket,9A-2-901,漏水维修,张三,13800000002,待派工,,,,,2026-06-20 20:02:37,2026-06-20 20:02:37
12,?????????????,?????????????,9?9??909?,漏水维修,张三,13800000002,待派工,,,,,2026-06-20 20:02:04,2026-06-20 20:02:04
10,Reviewer自动化验证工单-20260621-final,reviewer success chain,9栋2单元906室,漏水维修,张三,13800000002,已关闭,李师傅,13900000002,2026-06-24T14:00:00.000Z,2026-06-24T15:00:00.000Z,2026-06-20 19:21:50,2026-06-20 19:21:50
11,Reviewer冲突工单-20260621-final,reviewer conflict case,9栋2单元907室,漏水维修,李四,13800000003,待派工,,,,,2026-06-20 19:21:50,2026-06-20 19:21:50
9,Reviewer创建工单-原始响应,reviewer success chain,9栋2单元905室,漏水维修,张三,13800000002,待派工,,,,,2026-06-20 19:20:43,2026-06-20 19:20:43
8,review chain ticket,reviewer-created ticket for verification,9?2??901,漏水维修,张三,13800000002,已关闭,李师傅,13900000002,2026-06-21 18:00:00,2026-06-21 19:00:00,2026-06-20 18:16:40,2026-06-20 18:16:40
7,review chain ticket,reviewer-created ticket for verification,9?2??901,漏水维修,张三,13800000002,已关闭,李师傅,13900000002,2026-06-21 18:00:00,2026-06-21 19:00:00,2026-06-20 18:16:04,2026-06-20 18:16:04
6,Kitchen water pipe leak,"Water leak under kitchen sink, water on floor",Bldg 1 Unit 1 Room 101,漏水维修,张三,13800000002,已关闭,李师傅,13900000002,2026-06-21 14:00:00,2026-06-21 15:00:00,2026-06-20 18:10:50,2026-06-20 18:10:50
5,E2E test ticket,test,Bldg 3 Room 302,漏水维修,张三,13800000002,已关闭,李师傅,13900000002,2026-06-21 14:00:00,2026-06-21 15:00:00,2026-06-20 17:40:13,2026-06-20 17:40:13
4,review-1781975830,review-created ticket,1?1??101?,漏水维修,张三,13800000002,已关闭,李师傅,13900000002,2026-06-21T14:00:00.000Z,2026-06-21T15:00:00.000Z,2026-06-20 17:17:10,2026-06-20 17:17:10
3,Kitchen water pipe leak,"Water leak under kitchen sink, water on floor",Bldg 1 Unit 1 Room 101,漏水维修,张三,13800000002,已关闭,李师傅,13900000002,2026-06-21 14:00:00,2026-06-21 15:00:00,2026-06-20 17:06:48,2026-06-20 17:06:49
1,卫生间水龙头漏水,主卫生间洗手盆水龙头滴水，已持续3天,1栋1单元101室,漏水维修,张三,13800000002,待派工,,,,,2026-06-20 17:06:31,2026-06-20 17:06:31
2,客厅灯不亮,客厅吸顶灯开关后不亮，可能是镇流器坏了,2栋3单元502室,电路维修,李四,13800000003,待派工,,,,,2026-06-20 17:06:31,2026-06-20 17:06:31
